,return_usd
2333,0.7428416975837973
2336,2.0647719676953993
2340,2.0867770707779827
2341,1.1064481744358847
2342,0.3174350306011287
2345,1.7243546218773436
2346,0.4848306634889048
2363,0.814125107112848
2364,0.8526264951052677
2365,0.6800112811668048
2366,0.8584921131467831
2372,2.017699107844266
2373,1.5321896300481541
2374,0.9612258558679017
2375,0.7623466973609497
2376,0.1543506598299246
2380,-0.01562138090295678
2381,3.2759100087697077
2382,2.6340519665168447
2383,1.497298919162802
2395,1.8050211432112402
2396,1.658513750080693
2415,3.4539131638340597
2416,2.482052580805094
2417,2.212386825075897
2418,0.880663554231004
2419,0.6167519793062318
2441,0.7793248768009977
2442,0.3430931272153283
2443,-0.6150756451397899
2444,-0.6305480388034254
2449,1.811872505858612
2450,1.7812881693607596
2451,1.9345747165344218
2452,3.6250073775195255
2453,2.4640915100740806
2454,1.802930177230227
2466,3.0227587459394902
2469,-0.3307287619941472
2477,1.1085626195212779
2478,-0.17399630804796448
2479,0.4207477316393212
2480,0.09794307432996417
2481,3.3864999009015713
2482,2.7320921955824478
2483,2.1443042290198657
2484,1.1965251391907785
2489,3.0678994349809785
2490,2.5222104627589443
2491,1.2814059562224613
2492,0.840963555254164
2493,0.3245442371843472
2496,1.5035661550033552
2497,0.9186479514478333
2498,0.8754687373538999
2531,-3.9322257127456655
2535,1.618080457815442
2536,1.23471537166045
2566,0.7023546613108584
2573,0.0032945669494301114
2574,-0.3330979359822635
2626,1.684693796912867
2627,0.586062957950271
2628,-0.39097066195771185
2629,-0.7756596021344095
2631,0.1701646265233231
2632,-0.4508286498596945
2633,-0.4508286498596945
2634,0.24740680344988897
2635,0.24740680344988897
2636,0.13076506987955247
2647,2.870367443595862
2648,2.081913483911614
2649,1.6587803050497136
2656,-0.1408725588814155
2657,-0.29611755127288253
2658,1.2316852428924718
2659,-0.2764124801935502
2660,-0.35296753915041035
2661,-0.5672196239621546
2675,1.5935524032038768
2677,1.3247912285258407
2678,0.9803916572806788
2679,0.9840241439082453
2680,0.9380522236556679
2681,0.7663976422995381
2682,0.14323416808590772
